Max_Rape,Kidnapping,STATES,year,DISTRICT
50,30,"ANDHRA PRADESH",2001,ADILABAD
23,30,"ANDHRA PRADESH",2001,ANANTAPUR
27,34,"ANDHRA PRADESH",2001,CHITTOOR
20,20,"ANDHRA PRADESH",2001,CUDDAPAH
23,26,"ANDHRA PRADESH",2001,"EAST GODAVARI"
0,0,"ANDHRA PRADESH",2001,"GUNTAKAL RLY."
54,51,"ANDHRA PRADESH",2001,GUNTUR
37,39,"ANDHRA PRADESH",2001,"HYDERABAD CITY"
56,49,"ANDHRA PRADESH",2001,KARIMNAGAR
47,30,"ANDHRA PRADESH",2001,KHAMMAM
37,21,"ANDHRA PRADESH",2001,KRISHNA
29,47,"ANDHRA PRADESH",2001,KURNOOL
59,27,"ANDHRA PRADESH",2001,MAHABOOBNAGAR
35,20,"ANDHRA PRADESH",2001,MEDAK
35,19,"ANDHRA PRADESH",2001,NALGONDA
46,80,"ANDHRA PRADESH",2001,NELLORE
21,21,"ANDHRA PRADESH",2001,NIZAMABAD
19,12,"ANDHRA PRADESH",2001,PRAKASHAM
72,83,"ANDHRA PRADESH",2001,"RANGA REDDY"
0,0,"ANDHRA PRADESH",2001,"SECUNDERABAD RLY."
8,12,"ANDHRA PRADESH",2001,SRIKAKULAM
25,48,"ANDHRA PRADESH",2001,VIJAYAWADA
1,0,"ANDHRA PRADESH",2001,"VIJAYAWADA RLY."
12,12,"ANDHRA PRADESH",2001,"VISAKHA RURAL"
13,6,"ANDHRA PRADESH",2001,VISAKHAPATNAM
8,2,"ANDHRA PRADESH",2001,VIZIANAGARAM
53,25,"ANDHRA PRADESH",2001,WARANGAL
61,21,"ANDHRA PRADESH",2001,"WEST GODAVARI"
871,765,"ANDHRA PRADESH",2001,TOTAL
1,2,"ARUNACHAL PRADESH",2001,CHANGLANG
2,4,"ARUNACHAL PRADESH",2001,"DIBANG VALLEY"
2,5,"ARUNACHAL PRADESH",2001,"KAMENG EAST"
0,2,"ARUNACHAL PRADESH",2001,"KAMENG WEST"
2,6,"ARUNACHAL PRADESH",2001,LOHIT
9,5,"ARUNACHAL PRADESH",2001,"PAPUM PARE"
5,7,"ARUNACHAL PRADESH",2001,"SIANG EAST"
2,5,"ARUNACHAL PRADESH",2001,"SIANG UPPER"
4,10,"ARUNACHAL PRADESH",2001,"SIANG WEST"
2,5,"ARUNACHAL PRADESH",2001,"SUBANSIRI LOWER"
2,1,"ARUNACHAL PRADESH",2001,"SUBANSIRI UPPER"
1,0,"ARUNACHAL PRADESH",2001,TAWANG
1,3,"ARUNACHAL PRADESH",2001,TIRAP
33,55,"ARUNACHAL PRADESH",2001,TOTAL
28,88,ASSAM,2001,BARPETA
20,21,ASSAM,2001,BONGAIGAON
0,0,ASSAM,2001,C.I.D.
45,74,ASSAM,2001,CACHAR
48,47,ASSAM,2001,DARRANG
42,20,ASSAM,2001,DHEMAJI
43,51,ASSAM,2001,DHUBRI
35,37,ASSAM,2001,DIBRUGARH
1,0,ASSAM,2001,G.R.P.
35,35,ASSAM,2001,GOALPARA
30,40,ASSAM,2001,GOLAGHAT
37,64,ASSAM,2001,"GUWAHATI CITY"
24,34,ASSAM,2001,HAILAKANDI
42,28,ASSAM,2001,JORHAT
21,65,ASSAM,2001,KAMRUP
5,15,ASSAM,2001,"KARBI ANGLONG"
33,8,ASSAM,2001,KARIMGANJ
14,12,ASSAM,2001,KOKRAJHAR
64,62,ASSAM,2001,LAKHIMPUR
23,37,ASSAM,2001,MORIGAON
2,4,ASSAM,2001,N.C.HILLS
51,109,ASSAM,2001,NAGAON
30,27,ASSAM,2001,NALBARI
3,0,ASSAM,2001,R.P.O.
47,64,ASSAM,2001,SIBSAGAR
53,80,ASSAM,2001,SONITPUR
41,48,ASSAM,2001,TINSUKIA
817,1070,ASSAM,2001,TOTAL
93,13,BIHAR,2001,ARARIA
0,0,BIHAR,2001,ARWAL
16,4,BIHAR,2001,AURANGABAD
25,6,BIHAR,2001,BAGAHA
34,10,BIHAR,2001,BANKA
13,7,BIHAR,2001,BEGUSARAI
20,23,BIHAR,2001,BETTIAH
10,12,BIHAR,2001,BHABHUA
35,9,BIHAR,2001,BHAGALPUR
22,13,BIHAR,2001,BHOJPUR
8,1,BIHAR,2001,BUXAR
19,16,BIHAR,2001,DARBHANGA
25,15,BIHAR,2001,GAYA
13,18,BIHAR,2001,GOPALGANJ
1,0,BIHAR,2001,"JAMALPUR RLY."
10,1,BIHAR,2001,JAMUI
6,5,BIHAR,2001,JEHANABAD
51,20,BIHAR,2001,KATIHAR
0,1,BIHAR,2001,"KATIHAR RLY."
5,6,BIHAR,2001,KHAGARIA
22,16,BIHAR,2001,KISHANGANJ
10,7,BIHAR,2001,LAKHISARAI
11,15,BIHAR,2001,MADHEPURA
13,11,BIHAR,2001,MADHUBANI
44,35,BIHAR,2001,MOTIHARI
11,15,BIHAR,2001,MUNGER
73,25,BIHAR,2001,MUZAFFARPUR
2,1,BIHAR,2001,"MUZAFFARPUR RLY."
40,12,BIHAR,2001,NALANDA
7,9,BIHAR,2001,NAUGACHIA
15,1,BIHAR,2001,NAWADAH
27,11,BIHAR,2001,PATNA
1,1,BIHAR,2001,"PATNA RLY."
39,23,BIHAR,2001,PURNEA
25,18,BIHAR,2001,ROHTAS
12,10,BIHAR,2001,SAHARSA
19,29,BIHAR,2001,SAMASTIPUR
20,15,BIHAR,2001,SARAN
3,1,BIHAR,2001,SHEIKHPURA
11,7,BIHAR,2001,SHEOHAR
23,20,BIHAR,2001,SITAMARHI
4,26,BIHAR,2001,SIWAN
30,2,BIHAR,2001,SUPAUL
20,28,BIHAR,2001,VAISHALI
888,518,BIHAR,2001,TOTAL
17,1,CHHATTISGARH,2001,BALRAMPUR
69,20,CHHATTISGARH,2001,BILASPUR
4,0,CHHATTISGARH,2001,BIZAPUR
19,8,CHHATTISGARH,2001,DANTEWARA
22,4,CHHATTISGARH,2001,DHAMTARI
144,42,CHHATTISGARH,2001,DURG
0,0,CHHATTISGARH,2001,"GRP RAIPUR"
59,4,CHHATTISGARH,2001,JAGDALPUR
29,6,CHHATTISGARH,2001,JANJGIR
36,2,CHHATTISGARH,2001,JASHPUR
42,4,CHHATTISGARH,2001,KANKER
35,0,CHHATTISGARH,2001,KAWARDHA
46,13,CHHATTISGARH,2001,KORBA
34,7,CHHATTISGARH,2001,KORIYA
43,7,CHHATTISGARH,2001,MAHASAMUND
53,6,CHHATTISGARH,2001,RAIGARH
104,28,CHHATTISGARH,2001,RAIPUR
58,3,CHHATTISGARH,2001,RAJNANDGAON
145,16,CHHATTISGARH,2001,SARGUJA
959,171,CHHATTISGARH,2001,TOTAL
4,1,GOA,2001,"NORTH GOA"
8,5,GOA,2001,"SOUTH GOA"
12,6,GOA,2001,TOTAL
39,117,GUJARAT,2001,"AHMEDABAD COMMR."
5,27,GUJARAT,2001,"AHMEDABAD RURAL"
1,1,GUJARAT,2001,AHWA-DANG
2,34,GUJARAT,2001,AMRELI
3,28,GUJARAT,2001,ANAND
4,34,GUJARAT,2001,BHARUCH
9,51,GUJARAT,2001,BHAVNAGAR
5,15,GUJARAT,2001,DAHOD
4,12,GUJARAT,2001,GANDHINAGAR
17,29,GUJARAT,2001,HIMATNAGAR
20,22,GUJARAT,2001,JAMNAGAR
14,39,GUJARAT,2001,JUNAGADH
11,30,GUJARAT,2001,"KHEDA NORTH"
2,22,GUJARAT,2001,KUTCH
4,49,GUJARAT,2001,MEHSANA
8,8,GUJARAT,2001,NARMADA
2,5,GUJARAT,2001,NAVSARI
18,35,GUJARAT,2001,PALANPUR
5,46,GUJARAT,2001,PANCHMAHAL
3,21,GUJARAT,2001,PATAN
6,5,GUJARAT,2001,PORBANDAR
5,38,GUJARAT,2001,"RAJKOT COMMR."
20,35,GUJARAT,2001,"RAJKOT RURAL"
11,37,GUJARAT,2001,"SURAT COMMR."
26,16,GUJARAT,2001,"SURAT RURAL"
11,24,GUJARAT,2001,SURENDRANAGAR
3,32,GUJARAT,2001,"VADODARA COMMR."
18,34,GUJARAT,2001,"VADODARA RURAL"
9,11,GUJARAT,2001,VALSAD
1,0,GUJARAT,2001,W.RLY
286,857,GUJARAT,2001,TOTAL
11,32,HARYANA,2001,AMBALA
10,7,HARYANA,2001,BHIWANI
37,53,HARYANA,2001,FARIDABAD
17,13,HARYANA,2001,FATEHABAD
0,2,HARYANA,2001,GRP
32,32,HARYANA,2001,GURGAON
10,18,HARYANA,2001,HISSAR
21,8,HARYANA,2001,JHAJJAR
21,8,HARYANA,2001,JIND
16,8,HARYANA,2001,KAITHAL
44,10,HARYANA,2001,KARNAL
31,14,HARYANA,2001,KURUKSHETRA
11,8,HARYANA,2001,MAHENDRAGARH
6,15,HARYANA,2001,PANCHKULA
38,10,HARYANA,2001,PANIPAT
11,11,HARYANA,2001,REWARI
28,6,HARYANA,2001,ROHTAK
17,7,HARYANA,2001,SIRSA
15,12,HARYANA,2001,SONIPAT
22,23,HARYANA,2001,YAMUNANAGAR
398,297,HARYANA,2001,TOTAL
5,9,"HIMACHAL PRADESH",2001,BILASPUR
12,15,"HIMACHAL PRADESH",2001,CHAMBA
0,0,"HIMACHAL PRADESH",2001,G.R.P.
3,3,"HIMACHAL PRADESH",2001,HAMIRPUR
18,21,"HIMACHAL PRADESH",2001,KANGRA
6,3,"HIMACHAL PRADESH",2001,KINNAUR
13,6,"HIMACHAL PRADESH",2001,KULLU
2,1,"HIMACHAL PRADESH",2001,LAHAUL-SPITI
16,10,"HIMACHAL PRADESH",2001,MANDI
18,11,"HIMACHAL PRADESH",2001,SHIMLA
10,11,"HIMACHAL PRADESH",2001,SIRMAUR
12,10,"HIMACHAL PRADESH",2001,SOLAN
9,5,"HIMACHAL PRADESH",2001,UNA
124,105,"HIMACHAL PRADESH",2001,TOTAL
