Max_Rape,STATES
1442,"ANDHRA PRADESH"
59,"ARUNACHAL PRADESH"
1721,ASSAM
1555,BIHAR
1053,CHHATTISGARH
55,GOA
473,GUJARAT
733,HARYANA
183,"HIMACHAL PRADESH"
303,"JAMMU & KASHMIR"
855,JHARKHAND
636,KARNATAKA
1132,KERALA
3425,"MADHYA PRADESH"
1839,MAHARASHTRA
63,MANIPUR
164,MEGHALAYA
103,MIZORAM
23,NAGALAND
1458,ODISHA
680,PUNJAB
2049,RAJASTHAN
34,SIKKIM
737,"TAMIL NADU"
238,TRIPURA
2042,"UTTAR PRADESH"
148,UTTARAKHAND
2363,"WEST BENGAL"
24,"A & N ISLANDS"
33,CHANDIGARH
7,"D & N HAVELI"
5,"DAMAN & DIU"
706,DELHI
2,LAKSHADWEEP
13,PUDUCHERRY
