Max_Rape,STATES,year,DISTRICT
50,"ANDHRA PRADESH",2001,ADILABAD
23,"ANDHRA PRADESH",2001,ANANTAPUR
27,"ANDHRA PRADESH",2001,CHITTOOR
20,"ANDHRA PRADESH",2001,CUDDAPAH
23,"ANDHRA PRADESH",2001,"EAST GODAVARI"
0,"ANDHRA PRADESH",2001,"GUNTAKAL RLY."
54,"ANDHRA PRADESH",2001,GUNTUR
37,"ANDHRA PRADESH",2001,"HYDERABAD CITY"
56,"ANDHRA PRADESH",2001,KARIMNAGAR
47,"ANDHRA PRADESH",2001,KHAMMAM
37,"ANDHRA PRADESH",2001,KRISHNA
29,"ANDHRA PRADESH",2001,KURNOOL
59,"ANDHRA PRADESH",2001,MAHABOOBNAGAR
35,"ANDHRA PRADESH",2001,MEDAK
35,"ANDHRA PRADESH",2001,NALGONDA
46,"ANDHRA PRADESH",2001,NELLORE
21,"ANDHRA PRADESH",2001,NIZAMABAD
19,"ANDHRA PRADESH",2001,PRAKASHAM
72,"ANDHRA PRADESH",2001,"RANGA REDDY"
0,"ANDHRA PRADESH",2001,"SECUNDERABAD RLY."
8,"ANDHRA PRADESH",2001,SRIKAKULAM
25,"ANDHRA PRADESH",2001,VIJAYAWADA
1,"ANDHRA PRADESH",2001,"VIJAYAWADA RLY."
12,"ANDHRA PRADESH",2001,"VISAKHA RURAL"
13,"ANDHRA PRADESH",2001,VISAKHAPATNAM
8,"ANDHRA PRADESH",2001,VIZIANAGARAM
53,"ANDHRA PRADESH",2001,WARANGAL
61,"ANDHRA PRADESH",2001,"WEST GODAVARI"
871,"ANDHRA PRADESH",2001,TOTAL
1,"ARUNACHAL PRADESH",2001,CHANGLANG
2,"ARUNACHAL PRADESH",2001,"DIBANG VALLEY"
2,"ARUNACHAL PRADESH",2001,"KAMENG EAST"
0,"ARUNACHAL PRADESH",2001,"KAMENG WEST"
2,"ARUNACHAL PRADESH",2001,LOHIT
9,"ARUNACHAL PRADESH",2001,"PAPUM PARE"
5,"ARUNACHAL PRADESH",2001,"SIANG EAST"
2,"ARUNACHAL PRADESH",2001,"SIANG UPPER"
4,"ARUNACHAL PRADESH",2001,"SIANG WEST"
2,"ARUNACHAL PRADESH",2001,"SUBANSIRI LOWER"
2,"ARUNACHAL PRADESH",2001,"SUBANSIRI UPPER"
1,"ARUNACHAL PRADESH",2001,TAWANG
1,"ARUNACHAL PRADESH",2001,TIRAP
33,"ARUNACHAL PRADESH",2001,TOTAL
28,ASSAM,2001,BARPETA
20,ASSAM,2001,BONGAIGAON
0,ASSAM,2001,C.I.D.
45,ASSAM,2001,CACHAR
48,ASSAM,2001,DARRANG
42,ASSAM,2001,DHEMAJI
43,ASSAM,2001,DHUBRI
35,ASSAM,2001,DIBRUGARH
1,ASSAM,2001,G.R.P.
35,ASSAM,2001,GOALPARA
30,ASSAM,2001,GOLAGHAT
37,ASSAM,2001,"GUWAHATI CITY"
24,ASSAM,2001,HAILAKANDI
42,ASSAM,2001,JORHAT
21,ASSAM,2001,KAMRUP
5,ASSAM,2001,"KARBI ANGLONG"
33,ASSAM,2001,KARIMGANJ
14,ASSAM,2001,KOKRAJHAR
64,ASSAM,2001,LAKHIMPUR
23,ASSAM,2001,MORIGAON
2,ASSAM,2001,N.C.HILLS
51,ASSAM,2001,NAGAON
30,ASSAM,2001,NALBARI
3,ASSAM,2001,R.P.O.
47,ASSAM,2001,SIBSAGAR
53,ASSAM,2001,SONITPUR
41,ASSAM,2001,TINSUKIA
817,ASSAM,2001,TOTAL
93,BIHAR,2001,ARARIA
0,BIHAR,2001,ARWAL
16,BIHAR,2001,AURANGABAD
25,BIHAR,2001,BAGAHA
34,BIHAR,2001,BANKA
13,BIHAR,2001,BEGUSARAI
20,BIHAR,2001,BETTIAH
10,BIHAR,2001,BHABHUA
35,BIHAR,2001,BHAGALPUR
22,BIHAR,2001,BHOJPUR
8,BIHAR,2001,BUXAR
19,BIHAR,2001,DARBHANGA
25,BIHAR,2001,GAYA
13,BIHAR,2001,GOPALGANJ
1,BIHAR,2001,"JAMALPUR RLY."
10,BIHAR,2001,JAMUI
6,BIHAR,2001,JEHANABAD
51,BIHAR,2001,KATIHAR
0,BIHAR,2001,"KATIHAR RLY."
