max_murder,YEAR,STATEUT,DISTRICT
101,2001,"ANDHRA PRADESH",ADILABAD
151,2001,"ANDHRA PRADESH",ANANTAPUR
101,2001,"ANDHRA PRADESH",CHITTOOR
80,2001,"ANDHRA PRADESH",CUDDAPAH
82,2001,"ANDHRA PRADESH","EAST GODAVARI"
3,2001,"ANDHRA PRADESH","GUNTAKAL RLY."
182,2001,"ANDHRA PRADESH",GUNTUR
111,2001,"ANDHRA PRADESH","HYDERABAD CITY"
162,2001,"ANDHRA PRADESH",KARIMNAGAR
93,2001,"ANDHRA PRADESH",KHAMMAM
65,2001,"ANDHRA PRADESH",KRISHNA
133,2001,"ANDHRA PRADESH",KURNOOL
157,2001,"ANDHRA PRADESH",MAHABOOBNAGAR
101,2001,"ANDHRA PRADESH",MEDAK
122,2001,"ANDHRA PRADESH",NALGONDA
89,2001,"ANDHRA PRADESH",NELLORE
106,2001,"ANDHRA PRADESH",NIZAMABAD
102,2001,"ANDHRA PRADESH",PRAKASHAM
214,2001,"ANDHRA PRADESH","RANGA REDDY"
6,2001,"ANDHRA PRADESH","SECUNDERABAD RLY."
38,2001,"ANDHRA PRADESH",SRIKAKULAM
53,2001,"ANDHRA PRADESH",VIJAYAWADA
2,2001,"ANDHRA PRADESH","VIJAYAWADA RLY."
58,2001,"ANDHRA PRADESH","VISAKHA RURAL"
22,2001,"ANDHRA PRADESH",VISAKHAPATNAM
33,2001,"ANDHRA PRADESH",VIZIANAGARAM
158,2001,"ANDHRA PRADESH",WARANGAL
77,2001,"ANDHRA PRADESH","WEST GODAVARI"
11,2001,"ARUNACHAL PRADESH",CHANGLANG
3,2001,"ARUNACHAL PRADESH","DIBANG VALLEY"
3,2001,"ARUNACHAL PRADESH","KAMENG EAST"
4,2001,"ARUNACHAL PRADESH","KAMENG WEST"
16,2001,"ARUNACHAL PRADESH",LOHIT
11,2001,"ARUNACHAL PRADESH","PAPUM PARE"
7,2001,"ARUNACHAL PRADESH","SIANG EAST"
1,2001,"ARUNACHAL PRADESH","SIANG UPPER"
5,2001,"ARUNACHAL PRADESH","SIANG WEST"
8,2001,"ARUNACHAL PRADESH","SUBANSIRI LOWER"
4,2001,"ARUNACHAL PRADESH","SUBANSIRI UPPER"
2,2001,"ARUNACHAL PRADESH",TAWANG
8,2001,"ARUNACHAL PRADESH",TIRAP
64,2001,ASSAM,BARPETA
45,2001,ASSAM,BONGAIGAON
0,2001,ASSAM,C.I.D.
52,2001,ASSAM,CACHAR
61,2001,ASSAM,DARRANG
15,2001,ASSAM,DHEMAJI
65,2001,ASSAM,DHUBRI
110,2001,ASSAM,DIBRUGARH
13,2001,ASSAM,G.R.P.
28,2001,ASSAM,GOALPARA
53,2001,ASSAM,GOLAGHAT
71,2001,ASSAM,"GUWAHATI CITY"
18,2001,ASSAM,HAILAKANDI
40,2001,ASSAM,JORHAT
37,2001,ASSAM,KAMRUP
65,2001,ASSAM,"KARBI ANGLONG"
32,2001,ASSAM,KARIMGANJ
87,2001,ASSAM,KOKRAJHAR
26,2001,ASSAM,LAKHIMPUR
20,2001,ASSAM,MORIGAON
17,2001,ASSAM,N.C.HILLS
95,2001,ASSAM,NAGAON
79,2001,ASSAM,NALBARI
11,2001,ASSAM,R.P.O.
59,2001,ASSAM,SIBSAGAR
86,2001,ASSAM,SONITPUR
107,2001,ASSAM,TINSUKIA
47,2001,BIHAR,ARARIA
37,2001,BIHAR,ARWAL
74,2001,BIHAR,AURANGABAD
34,2001,BIHAR,BAGAHA
93,2001,BIHAR,BANKA
124,2001,BIHAR,BEGUSARAI
66,2001,BIHAR,BETTIAH
41,2001,BIHAR,BHABHUA
128,2001,BIHAR,BHAGALPUR
135,2001,BIHAR,BHOJPUR
56,2001,BIHAR,BUXAR
53,2001,BIHAR,DARBHANGA
200,2001,BIHAR,GAYA
107,2001,BIHAR,GOPALGANJ
7,2001,BIHAR,"JAMALPUR RLY."
67,2001,BIHAR,JAMUI
73,2001,BIHAR,JEHANABAD
60,2001,BIHAR,KATIHAR
7,2001,BIHAR,"KATIHAR RLY."
72,2001,BIHAR,KHAGARIA
25,2001,BIHAR,KISHANGANJ
61,2001,BIHAR,LAKHISARAI
56,2001,BIHAR,MADHEPURA
35,2001,BIHAR,MADHUBANI
114,2001,BIHAR,MOTIHARI
51,2001,BIHAR,MUNGER
153,2001,BIHAR,MUZAFFARPUR
13,2001,BIHAR,"MUZAFFARPUR RLY."
208,2001,BIHAR,NALANDA
36,2001,BIHAR,NAUGACHIA
77,2001,BIHAR,NAWADAH
434,2001,BIHAR,PATNA
24,2001,BIHAR,"PATNA RLY."
104,2001,BIHAR,PURNEA
127,2001,BIHAR,ROHTAS
36,2001,BIHAR,SAHARSA
107,2001,BIHAR,SAMASTIPUR
137,2001,BIHAR,SARAN
28,2001,BIHAR,SHEIKHPURA
18,2001,BIHAR,SHEOHAR
51,2001,BIHAR,SITAMARHI
116,2001,BIHAR,SIWAN
41,2001,BIHAR,SUPAUL
110,2001,BIHAR,VAISHALI
13,2001,CHHATTISGARH,BALRAMPUR
99,2001,CHHATTISGARH,BILASPUR
9,2001,CHHATTISGARH,BIZAPUR
83,2001,CHHATTISGARH,DANTEWARA
14,2001,CHHATTISGARH,DHAMTARI
76,2001,CHHATTISGARH,DURG
2,2001,CHHATTISGARH,"GRP RAIPUR"
80,2001,CHHATTISGARH,JAGDALPUR
48,2001,CHHATTISGARH,JANJGIR
37,2001,CHHATTISGARH,JASHPUR
31,2001,CHHATTISGARH,KANKER
19,2001,CHHATTISGARH,KAWARDHA
33,2001,CHHATTISGARH,KORBA
35,2001,CHHATTISGARH,KORIYA
18,2001,CHHATTISGARH,MAHASAMUND
50,2001,CHHATTISGARH,RAIGARH
92,2001,CHHATTISGARH,RAIPUR
36,2001,CHHATTISGARH,RAJNANDGAON
105,2001,CHHATTISGARH,SARGUJA
22,2001,GOA,"NORTH GOA"
14,2001,GOA,"SOUTH GOA"
90,2001,GUJARAT,"AHMEDABAD COMMR."
26,2001,GUJARAT,"AHMEDABAD RURAL"
6,2001,GUJARAT,AHWA-DANG
41,2001,GUJARAT,AMRELI
28,2001,GUJARAT,ANAND
37,2001,GUJARAT,BHARUCH
64,2001,GUJARAT,BHAVNAGAR
36,2001,GUJARAT,DAHOD
25,2001,GUJARAT,GANDHINAGAR
55,2001,GUJARAT,HIMATNAGAR
48,2001,GUJARAT,JAMNAGAR
56,2001,GUJARAT,JUNAGADH
42,2001,GUJARAT,"KHEDA NORTH"
34,2001,GUJARAT,KUTCH
28,2001,GUJARAT,MEHSANA
16,2001,GUJARAT,NARMADA
26,2001,GUJARAT,NAVSARI
52,2001,GUJARAT,PALANPUR
56,2001,GUJARAT,PANCHMAHAL
24,2001,GUJARAT,PATAN
15,2001,GUJARAT,PORBANDAR
29,2001,GUJARAT,"RAJKOT COMMR."
30,2001,GUJARAT,"RAJKOT RURAL"
98,2001,GUJARAT,"SURAT COMMR."
62,2001,GUJARAT,"SURAT RURAL"
38,2001,GUJARAT,SURENDRANAGAR
34,2001,GUJARAT,"VADODARA COMMR."
71,2001,GUJARAT,"VADODARA RURAL"
44,2001,GUJARAT,VALSAD
15,2001,GUJARAT,W.RLY
26,2001,HARYANA,AMBALA
40,2001,HARYANA,BHIWANI
68,2001,HARYANA,FARIDABAD
18,2001,HARYANA,FATEHABAD
24,2001,HARYANA,GRP
69,2001,HARYANA,GURGAON
45,2001,HARYANA,HISSAR
48,2001,HARYANA,JHAJJAR
37,2001,HARYANA,JIND
33,2001,HARYANA,KAITHAL
42,2001,HARYANA,KARNAL
20,2001,HARYANA,KURUKSHETRA
26,2001,HARYANA,MAHENDRAGARH
12,2001,HARYANA,PANCHKULA
43,2001,HARYANA,PANIPAT
21,2001,HARYANA,REWARI
57,2001,HARYANA,ROHTAK
37,2001,HARYANA,SIRSA
73,2001,HARYANA,SONIPAT
42,2001,HARYANA,YAMUNANAGAR
8,2001,"HIMACHAL PRADESH",BILASPUR
13,2001,"HIMACHAL PRADESH",CHAMBA
1,2001,"HIMACHAL PRADESH",G.R.P.
2,2001,"HIMACHAL PRADESH",HAMIRPUR
24,2001,"HIMACHAL PRADESH",KANGRA
5,2001,"HIMACHAL PRADESH",KINNAUR
13,2001,"HIMACHAL PRADESH",KULLU
1,2001,"HIMACHAL PRADESH",LAHAUL-SPITI
18,2001,"HIMACHAL PRADESH",MANDI
14,2001,"HIMACHAL PRADESH",SHIMLA
3,2001,"HIMACHAL PRADESH",SIRMAUR
11,2001,"HIMACHAL PRADESH",SOLAN
6,2001,"HIMACHAL PRADESH",UNA
74,2001,"JAMMU & KASHMIR",ANANTNAG
25,2001,"JAMMU & KASHMIR",AWANTIPORA
144,2001,"JAMMU & KASHMIR",BARAMULLA
6,2001,"JAMMU & KASHMIR",BORDER
78,2001,"JAMMU & KASHMIR",BUDGAM
0,2001,"JAMMU & KASHMIR","CRIME JAMMU"
0,2001,"JAMMU & KASHMIR","CRIME SRINAGAR"
104,2001,"JAMMU & KASHMIR",DODA
24,2001,"JAMMU & KASHMIR",GANDERBAL
27,2001,"JAMMU & KASHMIR",JAMMU
0,2001,"JAMMU & KASHMIR",KARGIL
16,2001,"JAMMU & KASHMIR",KATHUA
39,2001,"JAMMU & KASHMIR",KULGAM
141,2001,"JAMMU & KASHMIR",KUPWARA
3,2001,"JAMMU & KASHMIR",LEH
100,2001,"JAMMU & KASHMIR",POONCH
46,2001,"JAMMU & KASHMIR",PULWAMA
1,2001,"JAMMU & KASHMIR",RAILWAYS
76,2001,"JAMMU & KASHMIR",RAJOURI
51,2001,"JAMMU & KASHMIR",RAMBAN
36,2001,"JAMMU & KASHMIR",REASI
63,2001,"JAMMU & KASHMIR",SRINAGAR
21,2001,"JAMMU & KASHMIR",UDHAMPUR
70,2001,JHARKHAND,BOKARO
109,2001,JHARKHAND,CHAIBASA
40,2001,JHARKHAND,CHATRA
47,2001,JHARKHAND,DEOGHAR
97,2001,JHARKHAND,DHANBAD
11,2001,JHARKHAND,"DHANBAD RLY."
63,2001,JHARKHAND,DUMKA
32,2001,JHARKHAND,GARHWA
63,2001,JHARKHAND,GIRIDIH
61,2001,JHARKHAND,GODDA
136,2001,JHARKHAND,GUMLA
76,2001,JHARKHAND,HAZARIBAGH
81,2001,JHARKHAND,JAMSHEDPUR
4,2001,JHARKHAND,"JAMSHEDPUR RLY."
22,2001,JHARKHAND,JAMTARA
