Min_murder,DISTRICT
0,ADILABAD
0,ANANTAPUR
0,CHITTOOR
0,CUDDAPAH
0,"EAST GODAVARI"
0,"GUNTAKAL RLY."
0,GUNTUR
0,"HYDERABAD CITY"
0,KARIMNAGAR
0,KHAMMAM
0,KRISHNA
0,KURNOOL
0,MAHABOOBNAGAR
0,MEDAK
0,NALGONDA
0,NELLORE
0,NIZAMABAD
0,PRAKASHAM
0,"RANGA REDDY"
0,"SECUNDERABAD RLY."
0,SRIKAKULAM
0,VIJAYAWADA
0,"VIJAYAWADA RLY."
0,"VISAKHA RURAL"
0,VISAKHAPATNAM
0,VIZIANAGARAM
0,WARANGAL
0,"WEST GODAVARI"
0,TOTAL
0,CHANGLANG
0,"DIBANG VALLEY"
0,"KAMENG EAST"
0,"KAMENG WEST"
0,LOHIT
0,"PAPUM PARE"
0,"SIANG EAST"
0,"SIANG UPPER"
0,"SIANG WEST"
0,"SUBANSIRI LOWER"
0,"SUBANSIRI UPPER"
0,TAWANG
0,TIRAP
0,BARPETA
0,BONGAIGAON
0,C.I.D.
0,CACHAR
0,DARRANG
0,DHEMAJI
0,DHUBRI
0,DIBRUGARH
0,G.R.P.
0,GOALPARA
0,GOLAGHAT
0,"GUWAHATI CITY"
0,HAILAKANDI
0,JORHAT
0,KAMRUP
0,"KARBI ANGLONG"
0,KARIMGANJ
0,KOKRAJHAR
0,LAKHIMPUR
0,MORIGAON
0,"N.C. HILLS"
0,NAGAON
0,NALBARI
0,R.P.O.
0,SIBSAGAR
0,SONITPUR
0,TINSUKIA
0,ARARIA
0,ARWAL
0,AURANGABAD
0,BAGAHA
0,BANKA
0,BEGUSARAI
0,BETTIAH
0,BHABHUA
0,BHAGALPUR
0,BHOJPUR
0,BUXAR
0,DARBHANGA
0,GAYA
0,GOPALGANJ
0,"JAMALPUR RLY."
0,JAMUI
0,JEHANABAD
0,KATIHAR
0,"KATIHAR RLY."
0,KHAGARIA
0,KISHANGANJ
0,LAKHISARAI
0,MADHEPURA
0,MADHUBANI
0,MOTIHARI
0,MUNGER
0,MUZAFFARPUR
0,"MUZAFFARPUR RLY."
0,NALANDA
0,NAUGACHIA
0,NAWADAH
0,PATNA
0,"PATNA RLY."
0,PURNEA
0,ROHTAS
0,SAHARSA
0,SAMASTIPUR
0,SARAN
0,SHEIKHPURA
0,SHEOHAR
0,SITAMARHI
0,SIWAN
0,SUPAUL
0,VAISHALI
0,BALRAMPUR
0,BILASPUR
0,BIZAPUR
0,DANTEWARA
0,DHAMTARI
0,DURG
0,"GRP RAIPUR"
0,JAGDALPUR
0,JANJGIR
0,JASHPUR
0,KANKER
0,KORBA
0,KORIYA
0,MAHASAMUND
0,RAIGARH
0,RAIPUR
0,RAJNANDGAON
0,SARGUJA
0,"NORTH GOA"
0,"SOUTH GOA"
0,"AHMEDABAD COMMR."
0,"AHMEDABAD RURAL"
0,AHWA-DANG
0,AMRELI
0,ANAND
0,BHARUCH
0,BHAVNAGAR
0,DAHOD
0,GANDHINAGAR
0,HIMATNAGAR
0,JAMNAGAR
0,JUNAGADH
0,"KHEDA NORTH"
0,KUTCH
0,MEHSANA
0,NARMADA
0,NAVSARI
0,PALANPUR
0,PANCHMAHAL
0,PATAN
0,PORBANDAR
0,"RAJKOT COMMR."
0,"RAJKOT RURAL"
0,"SURAT COMMR."
0,"SURAT RURAL"
0,SURENDRANAGAR
0,"VADODARA COMMR."
0,"VADODARA RURAL"
0,VALSAD
0,W.RLY
0,AMBALA
0,BHIWANI
0,FARIDABAD
0,FATEHABAD
0,GRP
0,GURGAON
0,HISAR
0,JHAJJAR
0,JIND
0,KAITHAL
0,KARNAL
0,KURUKSHETRA
0,MAHENDERGARH
0,PANCHKULA
0,PANIPAT
0,REWARI
0,ROHTAK
0,SIRSA
0,SONIPAT
0,YAMUNANAGAR
0,CHAMBA
0,HAMIRPUR
0,KANGRA
0,KINNAUR
0,KULLU
0,LAHAUL-SPITI
0,MANDI
0,SHIMLA
0,SIRMAUR
0,SOLAN
0,UNA
0,ANANTNAG
0,AWANTIPORA
0,BARAMULLA
0,BORDER
0,BUDGAM
0,"CRIME JAMMU"
0,"CRIME SRINAGAR"
0,DODA
0,GANDERBAL
0,JAMMU
0,KARGIL
0,KATHUA
0,KULGAM
0,KUPWARA
0,LEH
0,POONCH
0,PULWAMA
0,RAILWAYS
0,RAJOURI
0,RAMBAN
0,REASI
0,SRINAGAR
0,UDHAMPUR
0,BOKARO
0,CHAIBASA
0,CHATRA
0,DEOGHAR
0,DHANBAD
0,"DHANBAD RLY."
0,DUMKA
0,GARHWA
0,GIRIDIH
0,GODDA
0,GUMALA
0,HAZARIBAGH
0,JAMSHEDPUR
0,"JAMSHEDPUR RLY."
0,JAMTARA
0,KODERMA
