Min_murder,DISTRICT,year
0,ADILABAD,2001
0,ANANTAPUR,2001
0,CHITTOOR,2001
0,CUDDAPAH,2001
0,"EAST GODAVARI",2001
0,"GUNTAKAL RLY.",2001
0,GUNTUR,2001
0,"HYDERABAD CITY",2001
0,KARIMNAGAR,2001
1,KHAMMAM,2001
0,KRISHNA,2001
0,KURNOOL,2001
1,MAHABOOBNAGAR,2001
0,MEDAK,2001
1,NALGONDA,2001
1,NELLORE,2001
0,NIZAMABAD,2001
0,PRAKASHAM,2001
0,"RANGA REDDY",2001
0,"SECUNDERABAD RLY.",2001
0,SRIKAKULAM,2001
0,VIJAYAWADA,2001
0,"VIJAYAWADA RLY.",2001
0,"VISAKHA RURAL",2001
0,VISAKHAPATNAM,2001
0,VIZIANAGARAM,2001
0,WARANGAL,2001
0,"WEST GODAVARI",2001
0,TOTAL,2001
0,CHANGLANG,2001
0,"DIBANG VALLEY",2001
0,"KAMENG EAST",2001
0,"KAMENG WEST",2001
1,LOHIT,2001
1,"PAPUM PARE",2001
2,"SIANG EAST",2001
0,"SIANG UPPER",2001
0,"SIANG WEST",2001
0,"SUBANSIRI LOWER",2001
0,"SUBANSIRI UPPER",2001
0,TAWANG,2001
0,TIRAP,2001
0,BARPETA,2001
0,BONGAIGAON,2001
0,C.I.D.,2001
0,CACHAR,2001
0,DARRANG,2001
0,DHEMAJI,2001
0,DHUBRI,2001
0,DIBRUGARH,2001
0,G.R.P.,2001
0,GOALPARA,2001
0,GOLAGHAT,2001
0,"GUWAHATI CITY",2001
0,HAILAKANDI,2001
0,JORHAT,2001
0,KAMRUP,2001
0,"KARBI ANGLONG",2001
0,KARIMGANJ,2001
0,KOKRAJHAR,2001
0,LAKHIMPUR,2001
0,MORIGAON,2001
0,"N.C. HILLS",2001
0,NAGAON,2001
0,NALBARI,2001
0,R.P.O.,2001
0,SIBSAGAR,2001
0,SONITPUR,2001
0,TINSUKIA,2001
1,ARARIA,2001
0,ARWAL,2001
0,AURANGABAD,2001
0,BAGAHA,2001
0,BANKA,2001
0,BEGUSARAI,2001
0,BETTIAH,2001
0,BHABHUA,2001
0,BHAGALPUR,2001
0,BHOJPUR,2001
